zipcode;locality;subregion;region
14111;14017;14;01
14130;14033;14;01
14249;14029;14;01
14439;14001;14;01
14445;14016;14;01
14460;14023;14;01
14670;14063;14;01
14720;14005;14;01
15005;15030;15;12
15107;15019;15;12
15113;15043;15;12
15310;15032;15;12
15565;15081;15;12
15566;15081;15;12
15607;15069;15;12
15616;15091;15;12
15820;15078;15;12
15847;15077;15;12
15860;15077;15;12
15959;15073;15;12
16152;16031;16;08
16162;16211;16;08
16238;16244;16;08
16555;16901;16;08
16857;16045;16;08
17184;17233;17;09
17212;17117;17;09
17469;17074;17;09
17493;17129;17;09
17744;17111;17;09
17762;17100;17;09
18310;18171;18;01
18658;18910;18;01
18891;18023;18;01
19142;19161;19;08
19153;19043;19;08
19209;19319;19;08
19242;19135;19;08
19339;19109;19;08
19351;19190;19;08
20580;20074;20;16
20709;20035;20;16
20860;20032;20;16
20870;20032;20;16
21004;21041;21;01
21070;21041;21;01
21200;21007;21;01
21209;21007;21;01
22310;22082;22;02
22311;22041;22;02
22587;22087;22;02
22592;22172;22;02
22609;22199;22;02
22821;22173;22;02
23330;23097;23;01
23411;23009;23;01
23526;23058;23;01
23600;23060;23;01
23710;23010;23;01
24125;24167;24;07
24139;24202;24;07
24191;24089;24;07
24233;24212;24;07
24346;24197;24;07
24388;24016;24;07
24428;24070;24;07
24490;24115;24;07
24649;24134;24;07
24720;24152;24;07
24733;24125;24;07
24764;24108;24;07
24813;24056;24;07
24830;24098;24;07
24880;24183;24;07
24890;24076;24;07
25153;25182;25;09
25270;25192;25;09
25334;25070;25;09
25577;25123;25;09
25617;25240;25;09
25630;25215;25;09
25690;25254;25;09
26120;26005;26;17
26213;26150;26;17
26241;26025;26;17
26321;26149;26;17
27125;27011;27;12
27211;27023;27;12
27243;27053;27;12
27272;27046;27;12
27305;27022;27;12
27350;27008;27;12
27369;27026;27;12
27520;27009;27;12
27590;27031;27;12
27656;27034;27;12
27666;27012;27;12
27710;27051;27;12
27786;27019;27;12
27822;27065;27;12
27864;27066;27;12
28030;28079;28;13
28229;28177;28;13
28232;28127;28;13
28280;28054;28;13
28312;28013;28;13
28512;28179;28;13
28529;28123;28;13
28560;28035;28;13
28590;28180;28;13
28668;28007;28;13
28813;28154;28;13
28900;28065;28;13
28931;28092;28;13
28982;28106;28;13
29260;29015;29;01
29580;29038;29;01
29689;29051;29;01
30120;30030;30;14
30351;30016;30;14
30369;30016;30;14
30389;30016;30;14
30560;30007;30;14
30612;30040;30;14
30832;30030;30;14
30859;30006;30;14
30879;30026;30;14
31013;31201;31;15
31080;31201;31;15
31172;31131;31;15
31177;31260;31;15
31261;31015;31;15
31391;31178;31;15
31440;31159;31;15
31540;31057;31;15
31587;31165;31;15
31593;31105;31;15
31650;31211;31;15
31692;31003;31;15
31790;31022;31;15
31891;31144;31;15
32227;32056;32;12
32366;32083;32;12
32621;32039;32;12
32655;32067;32;12
32766;32023;32;12
32847;32006;32;12
33009;33044;33;03
33117;33053;33;03
33139;33051;33;03
33150;33021;33;03
33201;33024;33;03
33341;33019;33;03
33420;33066;33;03
33508;33036;33;03
33768;33017;33;03
33934;33031;33;03
33947;33060;33;03
33990;33015;33;03
34002;34120;34;07
34307;34902;34;07
34429;34159;34;07
34469;34901;34;07
34844;34056;34;07
34858;34049;34;07
35008;35016;35;05
35328;35033;35;05
35543;35010;35;05
35600;35017;35;05
36005;36038;36;12
36211;36057;36;12
36429;36014;36;12
36448;36034;36;12
36530;36047;36;12
36555;36018;36;12
36654;36005;36;12
36680;36017;36;12
36683;36017;36;12
36689;36017;36;12
36739;36054;36;12
36930;36004;36;12
36946;36008;36;12
36991;36022;36;12
37003;37274;37;07
37440;37072;37;07
37820;37247;37;07
37864;37029;37;07
38129;38038;38;05
38139;38038;38;05
38434;38022;38;05
38570;38012;38;05
38729;38033;38;05
39007;39075;39;06
