avg,cards,merchants,txs,category_id,zipcode_id,date
47.01116,2226,144,2990,19,93,201512
23.36794,7555,149,9578,13,93,201512
39.19571,861,36,982,5,93,201512
18.027,6373,41,7682,16,93,201512
75.47758,2638,197,3471,8,93,201512
26.20328,0,0,5409,1,93,201512
39.02953,6028,303,8790,3,308,201501
48.08843,4379,55,5387,17,308,201501
85.10032,2739,196,3489,8,308,201501
114.68183,183,19,202,15,308,201501
83.12137,328,56,351,9,308,201501
34.76508,438,41,492,5,308,201501
51.66886,1010,109,1379,13,308,201501
122.20468,523,52,564,16,308,201501
227.29925,545,48,597,2,308,201501
53.87493,1932,155,2385,19,308,201501
54.15944,1116,92,1316,6,308,201501
33.45968,3388,80,6358,7,308,201501
68.32889,0,0,37808,1,308,201501
50.70626,1901,154,2381,19,308,201502
95.87338,181,15,207,15,308,201502
93.84585,2796,198,3603,8,308,201502
32.94764,469,42,539,5,308,201502
37.04129,6551,299,9688,3,308,201502
59.57162,940,116,1232,13,308,201502
32.09619,3424,81,6379,7,308,201502
112.15503,420,54,461,16,308,201502
45.49371,4192,62,5163,17,308,201502
243.77623,404,44,424,2,308,201502
87.56311,372,50,405,9,308,201502
50.74306,917,92,1074,6,308,201502
60.50419,0,0,27833,1,308,201502
96.54923,194,21,221,15,308,201503
49.93459,2114,152,2719,19,308,201503
55.4062,1023,117,1370,13,308,201503
111.33727,469,57,505,16,308,201503
31.78619,414,41,475,5,308,201503
91.49174,2994,193,3863,8,308,201503
42.59357,26,8,28,12,308,201503
50.96025,1058,98,1286,6,308,201503
241.79584,473,44,510,2,308,201503
37.49661,7196,313,10604,3,308,201503
139.01764,278,8,352,10,308,201503
49.02287,4595,64,5775,17,308,201503
92.46918,335,49,365,9,308,201503
34.09543,4055,81,7195,7,308,201503
62.71085,0,0,26590,1,308,201503
35.9079,419,42,491,5,308,201504
46.12297,4378,62,5461,17,308,201504
34.1643,3413,75,6143,7,308,201504
50.92426,1984,154,2584,19,308,201504
106.64235,432,54,480,16,308,201504
107.89469,175,20,207,15,308,201504
236.94916,438,51,465,2,308,201504
62.85925,1050,121,1388,13,308,201504
36.02944,6477,313,9477,3,308,201504
56.20855,992,85,1154,6,308,201504
86.65258,2759,202,3564,8,308,201504
97.98764,381,51,432,9,308,201504
60.17229,0,0,26133,1,308,201504
256.09306,545,49,576,2,308,201505
343.77644,122,17,444,18,308,201505
43.67527,4662,62,5861,17,308,201505
48.06516,2244,162,2945,19,308,201505
37.01063,7213,335,10756,3,308,201505
52.64219,1120,119,1514,13,308,201505
31.29401,468,40,576,5,308,201505
85.11118,214,21,245,15,308,201505
119.78673,403,52,455,9,308,201505
80.94223,3138,209,4159,8,308,201505
56.21335,1245,91,1551,6,308,201505
36.88844,3702,76,6518,7,308,201505
119.56902,426,57,460,16,308,201505
58.80602,0,0,28314,1,308,201505
246.86545,599,54,646,2,308,201506
52.27138,1200,95,1507,6,308,201506
35.77185,7334,323,11015,3,308,201506
107.88442,439,57,495,16,308,201506
41.63923,4522,62,5721,17,308,201506
113.08726,340,50,372,9,308,201506
37.48222,3770,78,6553,7,308,201506
77.82194,236,22,273,15,308,201506
50.18088,2325,163,3026,19,308,201506
55.14969,1242,125,1654,13,308,201506
87.52328,2924,214,3792,8,308,201506
129.60688,296,9,353,10,308,201506
34.85522,520,45,594,5,308,201506
64.65172,0,0,27574,1,308,201506
49.44229,2191,158,2882,19,308,201507
34.32614,3335,73,5742,7,308,201507
44.06172,351,36,401,5,308,201507
51.48597,1055,89,1280,6,308,201507
39.98323,4329,57,5503,17,308,201507
251.31542,609,56,660,2,308,201507
89.91973,216,21,260,15,308,201507
131.83322,424,52,459,16,308,201507
53.31297,1043,106,1433,13,308,201507
37.73654,6692,324,9856,3,308,201507
94.71755,2853,203,3702,8,308,201507
133.21664,329,44,369,9,308,201507
65.64481,0,0,34459,1,308,201507
48.95094,1426,135,1742,19,308,201508
60.15981,1719,161,2113,8,308,201508
478.94076,146,18,316,18,308,201508
42.74813,3354,53,4051,17,308,201508
60.31129,676,92,897,13,308,201508
32.19504,2370,67,3981,7,308,201508
42.23382,565,67,694,6,308,201508
246.9751,425,48,463,2,308,201508
37.72078,4734,301,6533,3,308,201508
46.59929,222,30,238,5,308,201508
121.7423,297,47,331,16,308,201508
115.11004,222,39,235,9,308,201508
84.97169,148,21,183,15,308,201508
58.36808,0,0,22831,1,308,201508
55.38114,1092,114,1474,13,308,201509
252.19275,504,52,546,2,308,201509
44.08664,631,38,747,5,308,201509
47.1245,21,6,40,12,308,201509
97.21909,422,49,472,9,308,201509
85.09029,2742,209,3500,8,308,201509
76.97071,248,24,295,15,308,201509
55.17935,935,88,1115,6,308,201509
114.75504,487,56,530,16,308,201509
33.20456,3555,81,6437,7,308,201509
35.10827,7228,335,10646,3,308,201509
51.37922,1922,155,2434,19,308,201509
37.78341,4245,61,5158,17,308,201509
68.785,0,0,24426,1,308,201509
34.86833,4478,81,7578,7,308,201510
46.718,29,6,35,12,308,201510
81.48181,435,52,476,9,308,201510
35.57208,4694,61,5770,17,308,201510
33.9392,748,38,876,5,308,201510
106.22446,490,58,543,16,308,201510
55.6727,1263,119,1679,13,308,201510
51.95152,1106,87,1332,6,308,201510
47.41073,2025,157,2620,19,308,201510
71.12451,309,28,381,15,308,201510
92.41805,3184,217,4073,8,308,201510
251.13855,576,55,621,2,308,201510
35.24313,8363,342,12551,3,308,201510
67.24198,0,0,26025,1,308,201510
55.12726,1205,116,1597,13,308,201511
34.74276,508,41,595,5,308,201511
51.72527,1053,96,1287,6,308,201511
92.20285,378,51,417,9,308,201511
35.90105,4298,61,5241,17,308,201511
126.77886,500,56,551,16,308,201511
64.31743,271,24,342,15,308,201511
34.74659,8291,337,12457,3,308,201511
249.46336,457,50,494,2,308,201511
66.47232,68,7,82,12,308,201511
52.33353,1926,155,2468,19,308,201511
80.73258,3141,219,4023,8,308,201511
59.23231,0,0,35802,1,308,201511
38.33614,687,37,808,5,308,201512
79.50114,2884,205,3633,8,308,201512
36.33054,4165,59,4958,17,308,201512
60.7607,341,23,416,15,308,201512
53.17467,1174,91,1380,6,308,201512
56.0494,1190,125,1553,13,308,201512
39.55339,8798,344,12732,3,308,201512
40.6896,5642,90,9136,7,308,201512
131.64397,538,54,584,16,308,201512
50.92124,2113,153,2685,19,308,201512
57.59482,66,6,83,12,308,201512
254.99754,477,52,508,2,308,201512
89.3198,417,54,460,9,308,201512
73.62752,0,0,34215,1,308,201512
185.48069,87,18,231,18,199,201501
24.17957,2877,134,5034,7,199,201501
48.57755,2195,128,2884,8,199,201501
68.33551,195,12,254,2,199,201501
46.30995,3906,199,4601,19,199,201501
10.10754,1440,39,1727,17,199,201501
32.6405,2096,88,2430,5,199,201501
91.08149,803,69,861,16,199,201501
48.47121,3689,167,4465,13,199,201501
30.46469,16733,816,26221,3,199,201501
65.71767,11792,452,15460,6,199,201501
53.02652,1711,29,1876,15,199,201501
101.52739,1075,110,1200,10,199,201501
48.74892,1347,93,1519,9,199,201501
65.41046,0,0,3406,1,199,201501
62.72877,7621,442,9502,6,199,201502
50.92839,1213,93,1401,9,199,201502
191.90353,90,13,252,18,199,201502
49.19023,3003,161,3645,13,199,201502
50.06349,2295,133,2944,8,199,201502
47.37404,3739,210,4402,19,199,201502
52.24817,1086,28,1180,15,199,201502
31.65267,1636,83,1894,5,199,201502
111.10362,867,111,972,10,199,201502
9.96427,1583,42,1891,17,199,201502
69.77603,172,14,209,2,199,201502
84.26567,568,59,624,16,199,201502
30.37065,17207,812,27470,3,199,201502
22.93208,2728,140,4884,7,199,201502
64.00343,0,0,3197,1,199,201502
46.36399,2962,168,3685,13,199,201503
114.24482,929,118,1038,10,199,201503
44.90487,4123,210,4928,19,199,201503
49.07758,1220,91,1394,9,199,201503
85.9254,137,12,163,2,199,201503
29.92356,18775,824,30491,3,199,201503
55.22424,1191,24,1289,15,199,201503
263.30408,103,16,223,18,199,201503
65.41131,7725,457,9761,6,199,201503
23.53247,2952,130,5287,7,199,201503
10.08553,1582,41,1940,17,199,201503
45.89923,2447,129,3212,8,199,201503
32.54967,1656,86,1912,5,199,201503
82.07017,628,61,686,16,199,201503
64.74531,0,0,3371,1,199,201503
59.01638,1185,29,1293,15,199,201504
246.91692,89,12,208,18,199,201504
109.81119,914,119,1026,10,199,201504
47.23295,2347,129,3076,8,199,201504
29.44305,1647,86,1883,5,199,201504
69.07028,7920,452,9974,6,199,201504
53.79528,1095,88,1233,9,199,201504
46.96732,2889,171,3583,13,199,201504
48.94293,3958,212,4719,19,199,201504
85.45202,145,12,188,2,199,201504
9.86912,1886,45,2266,17,199,201504
