origin_age_data_id,avg,cards,gender,merchants,txs
174,146.365,20,M,23,26
175,57.82139,39,F,62,72
175,69.54947,20,M,26,38
176,80.59292,41,F,51,72
176,83.1944,19,M,23,25
177,87.21481,20,F,19,27
177,57.53941,11,M,17,17
178,18.55911,18,F,26,45
178,57.95348,13,M,12,23
179,39.67284,36,F,52,74
179,101.21563,23,M,40,48
180,60.36644,36,F,69,87
180,53.49353,28,M,43,51
181,132.90138,32,F,49,65
181,65.30469,40,M,33,49
182,85.19391,24,F,39,46
182,61.9136,19,M,21,25
183,94.1,12,F,13,17
183,95.11632,14,M,17,19
184,31.05545,14,F,19,22
184,59.61,0,filtered,0,2
185,31.50319,44,F,79,113
185,28.9175,22,M,29,44
186,43.7299,110,F,100,210
186,36.12516,48,M,53,64
187,52.73028,105,F,97,180
187,64.55145,41,M,42,55
188,46.21659,42,F,53,82
188,38.42429,6,M,6,7
189,47.184,4,F,5,5
189,79.45167,10,M,11,12
190,58.05455,7,F,11,11
190,37.08833,6,M,10,12
191,41.7426,55,F,62,96
191,43.91534,39,M,47,58
192,71.87676,61,F,69,102
192,46.80283,33,M,39,46
193,75.7098,32,F,40,49
193,64.82,10,M,14,14
194,78.42424,37,F,42,59
194,39.19875,16,M,21,24
195,75.52789,27,F,28,38
195,86.93235,16,M,16,17
196,43.50296,13,F,25,27
196,26.20286,6,M,6,7
197,34.69902,43,F,38,61
197,137.24886,21,M,22,35
198,48.80141,77,F,92,149
198,34.56607,45,M,51,89
199,35.5292,60,F,63,100
199,61.19854,25,M,25,41
200,44.80038,28,F,33,52
200,112.802,12,M,14,15
201,50.41118,13,F,15,17
201,256.62375,7,M,8,8
202,21.77958,7,F,18,24
202,49.01333,3,M,3,3
203,49.07735,37,F,52,68
203,28.63,21,M,29,40
204,50.9718,34,F,43,61
204,78.86384,32,M,51,73
205,62.11938,28,F,38,48
205,67.42718,25,M,30,39
206,62.325,30,F,51,64
206,100.65306,23,M,30,36
207,85.98,9,F,9,10
207,126.2125,6,M,8,12
208,57.87545,8,F,7,11
208,39.855,5,M,7,8
209,43.72152,32,F,48,66
209,115.55391,15,M,21,23
210,41.65656,34,F,48,64
210,122.98966,18,M,27,29
211,56.34533,38,F,57,75
211,48.28952,22,M,31,42
212,89.51351,26,F,33,37
212,46.62934,28,M,32,61
213,133.04333,12,F,21,24
213,72.18875,6,M,7,8
214,97.61,6,F,8,9
214,9.40143,3,M,4,7
215,37.01984,37,F,52,62
215,43.51027,34,M,51,75
216,56.87759,51,F,69,116
216,60.13244,24,M,32,41
217,59.65522,41,F,46,69
217,78.61,18,M,26,28
218,43.40861,18,F,30,36
218,90.38233,13,M,23,30
219,55.77226,17,F,24,31
219,99.185,4,M,4,4
220,32.842,4,F,5,5
220,18.16,0,filtered,0,1
221,56.30852,25,F,45,54
221,82.61625,18,M,29,32
222,44.61674,23,F,34,46
222,115.4325,18,M,22,28
223,140.92263,11,F,17,19
223,113.29,10,M,12,13
224,89.40721,24,F,45,61
224,78.00316,10,M,16,19
225,92.089,12,F,18,20
225,93.07333,6,M,6,6
226,34.22,7,F,10,11
226,43.48667,4,M,7,9
227,51.82557,42,F,59,79
227,42.37114,26,M,35,44
228,39.62736,37,F,47,72
228,67.18265,33,M,47,68
229,42.55397,44,F,54,78
229,53.60538,16,M,19,26
230,67.91042,18,F,20,24
230,54.74545,11,M,11,22
231,65.00533,9,F,12,15
231,109.57091,9,M,10,11
232,19.809,7,F,8,10
232,181.596,4,M,5,5
233,33.58986,34,F,51,72
233,51.60563,20,M,26,32
234,45.33406,55,F,65,96
234,59.95421,28,M,34,38
235,45.73104,37,F,52,67
235,45.088,15,M,16,20
236,71.53132,29,F,32,38
236,42.45828,17,M,18,29
237,113.63625,15,F,20,24
237,81.81818,6,M,10,11
238,26.886,7,F,11,15
238,102.332,3,M,4,5
239,47.92133,30,F,35,45
239,32.9187,21,M,34,46
240,37.22205,57,F,79,112
240,35.87351,25,M,28,37
241,48.34185,31,F,35,54
241,72.55294,23,M,26,34
242,71.08596,28,F,35,47
242,101.46286,5,M,7,7
243,46.35133,11,F,12,15
243,131.18556,8,M,9,9
244,48.20333,7,F,8,9
244,18.95333,6,M,9,9
245,47.19987,33,F,58,80
245,33.97146,16,M,25,41
246,38.66594,38,F,47,64
246,49.99194,23,M,26,31
247,52.06224,22,F,35,49
247,82.98067,20,M,25,30
248,79.46364,18,F,24,33
248,90.70556,12,M,11,18
249,97.98,4,F,4,4
249,63.97,0,filtered,0,2
250,35.29824,8,F,9,17
250,16.52167,3,M,6,6
251,47.87741,24,F,46,54
251,43.75,17,M,20,22
252,47.154,43,F,63,80
252,31.00342,13,M,21,38
253,75.0334,25,F,35,47
253,81.19667,14,M,21,21
254,47.84621,27,F,34,58
254,54.26895,12,M,16,19
255,43.65556,8,F,9,9
255,94.88,6,M,7,7
256,38.74833,0,filtered,0,6
257,40.46643,20,F,39,56
257,27.59316,13,M,16,19
258,41.23055,44,F,61,91
258,49.30633,22,M,23,30
259,95.66159,36,F,46,63
259,58.56667,17,M,19,30
260,68.33615,9,F,12,13
260,143.88846,9,M,11,13
261,72.99333,3,F,6,6
261,26.75,0,filtered,0,1
262,28.27273,0,filtered,0,11
263,36.98609,29,F,49,87
263,35.951,19,M,23,30
264,46.12113,21,F,35,53
264,29.91708,17,M,19,24
265,49.24041,27,F,42,49
265,94.22667,5,M,6,6
266,122.37063,11,F,15,16
266,204.795,4,M,4,6
267,91.19,12,F,15,16
267,185.35071,13,M,13,14
268,18.84667,3,F,3,3
268,330.58,0,filtered,0,1
269,120.63906,17,F,28,32
269,125.49417,7,M,10,12
270,50.59595,27,F,34,37
270,81.00707,30,M,33,41
271,30.62,14,F,17,29
271,49.27462,20,M,26,39
272,59.8525,4,F,4,4
272,146.85667,10,M,11,15
273,92.475,3,F,4,4
273,78.355,0,filtered,0,2
274,49.125,5,F,5,6
274,42.36538,8,M,12,13
275,37.21761,24,F,36,46
275,13.57333,5,M,15,21
276,37.27019,29,F,40,54
276,40.55513,24,M,29,39
277,71.55872,29,F,40,47
277,60.64231,7,M,8,13
