zipcode;locality;subregion;region
28750;28129;28;13
28815;28057;28;13
28850;28148;28;13
28027;28079;28;13
28083;28079;28;13
28196;28902;28;13
28200;28131;28;13
28211;28054;28;13
28400;28047;28;13
28413;28023;28;13
28492;28082;28;13
28770;28082;28;13
28801;28005;28;13
28807;28005;28;13
28945;28058;28;13
28947;28058;28;13
28984;28106;28;13
28004;28079;28;13
28018;28079;28;13
28026;28079;28;13
28087;28079;28;13
28359;28147;28;13
28580;28011;28;13
28669;28022;28;13
28800;28005;28;13
28901;28065;28;13
28918;28074;28;13
28920;28007;28;13
28035;28079;28;13
28043;28079;28;13
28070;28079;28;13
28390;28019;28;13
28510;28033;28;13
28891;28167;28;13
28907;28065;28;13
28938;28092;28;13
28946;28058;28;13
28022;28079;28;13
28294;28125;28;13
28320;28113;28;13
28913;28074;28;13
28916;28074;28;13
28936;28092;28;13
28071;28079;28;13
28194;28124;28;13
28693;28119;28;13
28810;28172;28;13
28861;28104;28;13
28922;28007;28;13
28924;28007;28;13
28944;28058;28;13
28023;28079;28;13
28034;28079;28;13
28430;28068;28;13
28649;28128;28;13
28812;28111;28;13
28020;28079;28;13
28110;28009;28;13
28180;28151;28;13
28419;28023;28;13
28420;28061;28;13
28708;28134;28;13
28709;28134;28;13
28806;28005;28;13
28814;28053;28;13
28821;28049;28;13
28902;28065;28;13
28950;28089;28;13
28983;28106;28;13
28221;28080;28;13
28330;28132;28;13
28440;28068;28;13
28640;28031;28;13
28680;28133;28;13
28804;28005;28;13
28029;28079;28;13
28032;28079;28;13
28791;28144;28;13
28802;28005;28;13
28903;28065;28;13
28930;28092;28;13
28006;28079;28;13
28040;28079;28;13
28055;28079;28;13
28292;28061;28;13
28297;28135;28;13
28412;28023;28;13
28550;28146;28;13
28691;28176;28;13
28702;28134;28;13
28862;28104;28;13
28905;28065;28;13
28906;28065;28;13
28915;28074;28;13
28981;28106;28;13
28025;28079;28;13
28033;28079;28;13
28223;28115;28;13
28293;28183;28;13
28350;28040;28;13
28524;28123;28;13
28703;28134;28;13
28909;28065;28;13
28001;28079;28;13
28039;28079;28;13
28270;28044;28;13
28343;28161;28;13
28391;28157;28;13
28490;28018;28;13
28690;28026;28;13
28822;28049;28;13
28935;28092;28;13
28021;28079;28;13
28410;28082;28;13
28523;28123;28;13
28540;28110;28;13
28620;28008;28;13
28792;28085;28;13
28811;28048;28;13
28914;28074;28;13
28943;28058;28;13
28119;28134;28;13
28296;28135;28;13
28595;28055;28;13
28740;28120;28;13
28934;28092;28;13
28003;28079;28;13
28014;28079;28;13
28019;28079;28;13
28031;28079;28;13
28044;28079;28;13
28130;28162;28;13
28140;28059;28;13
28190;19067;19;08
28222;28080;28;13
28679;28181;28;13
28830;28130;28;13
