id,avg,cards,age,merchants,txs,zipcode_id,date,origin_zipcode
176,81.2634,60,55-64,71,97,285,201501,28008
177,75.74931,31,>=65,35,44,285,201501,28008
178,31.88368,31,<=24,36,68,285,201501,28223
179,63.8864,59,25-34,87,122,285,201501,28223
180,57.82645,64,35-44,100,138,285,201501,28223
181,103.84666,72,45-54,74,114,285,201501,28223
182,76.99662,43,55-64,55,71,285,201501,28223
183,94.63639,26,>=65,30,36,285,201501,28223
184,33.435,16,<=24,21,24,285,201501,28032
185,30.77854,66,25-34,102,157,285,201501,28032
186,41.95361,158,35-44,130,274,285,201501,28032
187,55.49694,146,45-54,119,235,285,201501,28032
188,45.60371,48,55-64,57,89,285,201501,28032
189,69.96118,14,>=65,14,17,285,201501,28032
190,47.11565,13,<=24,20,23,285,201501,28029
191,42.5609,94,25-34,99,154,285,201501,28029
192,64.08351,94,35-44,101,148,285,201501,28029
193,73.28984,42,45-54,54,63,285,201501,28029
194,67.08193,53,55-64,62,83,285,201501,28029
195,79.0529,43,>=65,41,55,285,201501,28029
196,39.94117,19,<=24,29,34,285,201501,28022
197,72.08698,64,25-34,54,96,285,201501,28022
198,43.47811,122,35-44,126,238,285,201501,28022
199,42.99333,85,45-54,84,141,285,201501,28022
200,60.02462,40,55-64,43,67,285,201501,28022
201,116.3992,20,>=65,22,25,285,201501,28022
202,24.80555,10,<=24,21,27,285,201501,28224
203,41.50426,58,25-34,78,108,285,201501,28224
204,66.16672,66,35-44,86,134,285,201501,28224
205,64.49874,53,45-54,64,87,285,201501,28224
206,76.1231,53,55-64,76,100,285,201501,28224
207,107.925,15,>=65,16,22,285,201501,28224
208,50.28789,13,<=24,13,19,285,201501,28230
209,62.28495,47,25-34,66,89,285,201501,28230
210,67.01849,52,35-44,73,93,285,201501,28230
211,53.4535,60,45-54,84,117,285,201501,28230
212,62.8203,54,55-64,64,98,285,201501,28230
213,117.82969,18,>=65,27,32,285,201501,28230
214,59.01875,9,<=24,12,16,285,201501,28012
215,40.573,71,25-34,91,137,285,201501,28012
216,57.72758,75,35-44,96,157,285,201501,28012
217,65.1267,59,45-54,70,97,285,201501,28012
218,64.7603,31,55-64,52,66,285,201501,28012
219,60.73372,21,>=65,28,35,285,201501,28012
220,30.395,5,<=24,6,6,285,201501,28046
221,66.09744,43,25-34,71,86,285,201501,28046
222,71.41189,41,35-44,53,74,285,201501,28046
223,129.69687,21,45-54,29,32,285,201501,28046
224,86.69875,34,55-64,60,80,285,201501,28046
225,92.31615,18,>=65,23,26,285,201501,28046
226,38.39,11,<=24,17,20,285,201501,28039
227,48.4435,68,25-34,88,123,285,201501,28039
228,53.01136,70,35-44,84,140,285,201501,28039
229,45.31682,60,45-54,70,104,285,201501,28039
230,61.61413,29,55-64,30,46,285,201501,28039
231,83.86,18,>=65,21,26,285,201501,28039
232,73.738,11,<=24,13,15,285,201501,28019
233,39.13317,54,25-34,71,104,285,201501,28019
234,49.48007,83,35-44,95,134,285,201501,28019
235,45.58321,52,45-54,65,87,285,201501,28019
236,58.94747,46,55-64,50,67,285,201501,28019
237,103.63629,21,>=65,29,35,285,201501,28019
238,45.7475,10,<=24,14,20,285,201501,28031
239,40.33758,51,25-34,64,91,285,201501,28031
240,36.88718,82,35-44,100,149,285,201501,28031
241,57.69613,54,45-54,56,88,285,201501,28031
242,75.02371,33,55-64,38,54,285,201501,28031
243,78.16417,19,>=65,20,24,285,201501,28031
244,33.57833,13,<=24,17,18,285,201501,28100
245,42.71752,49,25-34,81,121,285,201501,28100
246,42.36179,61,35-44,68,95,285,201501,28100
247,63.80342,42,45-54,56,79,285,201501,28100
248,83.43138,30,55-64,35,51,285,201501,28100
249,86.64333,6,>=65,6,6,285,201501,28100
250,30.4,11,<=24,14,23,285,201501,28011
251,46.68263,41,25-34,63,76,285,201501,28011
252,41.95297,56,35-44,80,118,285,201501,28011
253,76.93676,39,45-54,54,68,285,201501,28011
254,49.43104,39,55-64,49,77,285,201501,28011
255,66.06625,14,>=65,16,16,285,201501,28011
256,38.74833,4,<=24,6,6,285,201501,28041
257,37.2052,33,25-34,54,75,285,201501,28041
258,43.23281,66,35-44,79,121,285,201501,28041
259,83.69549,53,45-54,61,93,285,201501,28041
260,106.11231,18,55-64,23,26,285,201501,28041
261,66.38714,4,>=65,7,7,285,201501,28041
262,28.27273,4,<=24,9,11,285,201501,28024
263,36.72068,48,25-34,63,117,285,201501,28024
264,41.07052,38,35-44,53,77,285,201501,28024
265,54.148,32,45-54,47,55,285,201501,28024
266,144.85,15,55-64,19,22,285,201501,28024
267,135.13166,25,>=65,28,30,285,201501,28024
268,96.78,4,<=24,4,4,285,201501,28660
269,121.96318,24,25-34,37,44,285,201501,28660
270,66.58128,57,35-44,62,78,285,201501,28660
271,41.31897,34,45-54,39,68,285,201501,28660
272,128.54,14,55-64,15,19,285,201501,28660
273,87.76833,5,>=65,6,6,285,201501,28660
274,44.5,13,<=24,16,19,285,201501,28026
275,29.80672,29,25-34,50,67,285,201501,28026
276,38.64775,53,35-44,63,93,285,201501,28026
277,69.1935,36,45-54,46,60,285,201501,28026
278,52.1375,27,55-64,40,52,285,201501,28026
279,141.397,13,>=65,14,20,285,201501,28026
280,20.71909,9,<=24,11,11,285,201501,28037
281,46.34291,31,25-34,42,55,285,201501,28037
282,40.0414,49,35-44,61,93,285,201501,28037
283,48.54253,42,45-54,65,83,285,201501,28037
284,63.5363,35,55-64,49,73,285,201501,28037
285,13.90285,4,>=65,6,7,285,201501,28037
286,41.059,5,<=24,8,10,285,201501,28047
287,34.83,30,25-34,35,43,285,201501,28047
288,40.98701,48,35-44,54,77,285,201501,28047
289,63.67427,41,45-54,54,68,285,201501,28047
290,73.65975,27,55-64,36,40,285,201501,28047
291,129.06143,13,>=65,15,21,285,201501,28047
292,55.26313,9,<=24,14,16,285,201501,28770
293,35.72467,20,25-34,24,30,285,201501,28770
294,214.08622,23,35-44,32,37,285,201501,28770
295,57.46466,34,45-54,43,60,285,201501,28770
296,58.20611,14,55-64,15,18,285,201501,28770
297,70.65375,6,>=65,7,8,285,201501,28770
298,26.21625,8,<=24,12,16,285,201501,28220
299,51.15415,39,25-34,47,65,285,201501,28220
300,40.09744,41,35-44,62,86,285,201501,28220
301,75.28693,39,45-54,50,62,285,201501,28220
302,40.81152,24,55-64,28,33,285,201501,28220
303,103.41429,13,>=65,14,14,285,201501,28220
304,24.19714,6,<=24,5,7,285,201501,28221
305,34.88593,23,25-34,40,59,285,201501,28221
306,56.10309,36,35-44,41,55,285,201501,28221
307,99.22963,15,45-54,23,27,285,201501,28221
308,149.23594,13,55-64,27,32,285,201501,28221
309,130.36143,11,>=65,14,14,285,201501,28221
310,31.718,4,<=24,4,5,285,201501,28038
